Time,FC,PAS,PAM,PAD
-1,75,142,97,78
0,82.5,156.2,106.7,78
150,82.8585,156.772,105.211,78
300,84.2052,159.015,107.05,78
450,81.807,155.323,108.037,77.9721
600,82.6356,156.994,107.986,79.8345
750,81.9947,157.075,106.78,79.991
900,79.8384,118.178,83.8551,57.7235
1050,75.8731,127.571,85.1793,67.4667
1200,74.9927,157.565,100.845,77.1854
1350,75.5779,155.066,105.17,80.3976
1500,75.8392,156.712,103.095,76.9693
1650,74.6054,155.05,104.804,75.9819
1800,64.3149,116.328,45.8382,51.0622
1950,63.174,108.761,49.4768,56.4441
2100,67.0965,108.935,75.8635,57.8247
2250,67.2804,103.245,71.1297,52.0062
2400,60.2903,76.1467,47.8652,41.0134
2550,66.9127,82.0347,53.6653,36.1926
2700,63.4172,84.9915,51.3156,40.0428
2850,58.7333,84.7045,56.3807,39.7405
3000,72.6463,97.9324,68.5625,42.6181
3150,61.7421,77.9854,56.2772,42.206
3300,65.1284,76.1244,57.3933,35.1314
3450,71.1878,85.5577,55.2452,39.2686
3600,72.7155,83.6699,57.2306,37.0495
3750,74.4865,80.6538,56.2109,39.9375
3900,72.8419,87.3753,53.7794,40.4495
4050,71.0219,82.8112,53.9784,38.1868
4200,75.3517,83.0188,57.2673,36.8868
4350,89.1147,95.0867,69.5035,37.0807
4500,90.3644,99.7642,65.3635,43.1356
4650,95.324,103.828,72.0722,38.6328
4800,97.1488,105.255,75.1864,40.4625
4950,96.8312,107.999,76.322,42.2631
5100,99.0775,110.129,77.6007,37.2718
5250,99.7123,106.689,77.086,36.9105
5400,96.9138,104.399,77.8669,40.4906
5550,96.1944,107.719,77.102,39.8746
5700,92.0019,111.336,79.8761,43.8771
5850,93.9282,107.93,76.5883,41.4462
6000,91.395,105.514,74.4727,40.9597
6150,93.4687,109.969,76.0367,45.4294
6300,92.981,110.797,80.3593,39.6447
6450,93.1412,107.61,75.1479,42.1147
6600,91.8794,108.431,81.3659,45.1608
6750,95.6101,107.704,77.6525,41.4401
6900,92.9301,110.495,75.7428,41.9254
7050,93.3423,105.458,77.5129,44.1137
7200,92.8468,106.402,81.8134,43.5674
7350,94.6978,107.384,81.0679,44.0266
7500,95.4259,110.928,78.6976,44.3347
7650,91.0314,105.894,79.3301,42.9319
7800,97.4268,106.945,83.719,43.2425
7950,100.107,101.405,82.6707,40.6251
8100,101.254,109.315,84.7577,44.4465
8250,100.889,105.857,84.2895,45.002
8400,98.6132,109.15,83.627,42.876
8550,100.762,111.308,81.2887,42.5096
8700,99.124,107.688,85.8094,43.2876
8850,98.8274,111.799,82.8252,44.1665
9000,100.996,111.44,84.4968,42.4791
9150,100.157,110.697,86.051,44.9005
9300,82.1529,91.0039,71.7325,41.5985
9450,82.6321,90.8723,70.5774,44.8176
9600,77.1504,121.221,92.3053,66.921
9750,77.4781,125.783,93.3375,65.6018
9900,79.2535,125.231,93.3054,67.431
10050,79.3826,125.344,91.9217,65.8851
10200,79.2255,125.751,92.7802,64.7812
10350,79.0114,123.375,90.0059,66.8377
10500,77.8308,125.527,92.8522,66.0605
10650,79.1193,122.131,91.2023,67.4274
10800,78.6587,120.418,91.878,67.2801
