Time,FC,PAS,PAM,PAD
-1,67,140,117,97
0,73.7,154,128.7,97
150,72.3374,153.359,126.749,97
300,74.0824,153.13,131.421,97
450,73.5116,157.679,132.702,95.2889
600,72.8268,152.68,128.623,98.4861
750,72.9056,152.073,130.682,98.8661
900,68.5571,152.383,129.904,98.236
1050,67.0725,124.904,100.474,73.8256
1200,64.8911,130.754,105.042,79.4758
1350,68.5017,154.367,126.856,98.0005
1500,66.8794,159.722,128.716,99.3133
1650,68.3135,151.25,124.529,96.331
1800,55.6788,107.006,52.7194,66.6953
1950,60.4087,103.419,84.5438,68.0726
2100,58.1501,106.689,84.138,68.581
2250,58.9537,100.288,83.5626,66.0112
2400,50.697,78.8804,55.6416,45.6122
2550,53.4651,71.0614,64.9498,47.5737
2700,52.6658,72.834,66.1408,45.9634
2850,54.3234,72.1265,64.1622,48.0635
3000,51.419,76.1405,61.0828,48.271
3150,55.2828,83.487,70.5898,49.3168
3300,54.1736,89.6057,66.655,51.2022
3450,57.7932,86.2271,67.8719,51.2375
3600,56.7612,82.1034,64.2342,50.5511
3750,62.8585,82.8339,66.2347,46.9077
3900,58.0017,78.4503,65.5563,48.3413
4050,57.7883,79.3296,70.428,49.0276
4200,58.4803,83.85,66.8415,49.1156
4350,59.0053,84.7021,68.1707,48.994
4500,59.6424,82.9355,68.6997,48.8761
4650,72.3547,103.097,83.0464,46.7072
4800,72.7071,96.5221,79.4331,48.7854
4950,83.3331,101.955,86.7235,49.3269
5100,82.1902,100.772,84.3378,49.5564
5250,87.3312,104.181,84.7059,46.0552
5400,88.7372,101.885,85.3942,47.6698
5550,82.7105,106.906,86.7551,47.9021
5700,80.1663,106.619,86.1686,51.9656
5850,80.2973,107.76,85.2783,49.3941
6000,81.7862,104.915,86.9195,48.7535
6150,80.4311,110.216,86.3931,49.6491
6300,76.1299,104.406,85.9079,47.2388
6450,77.9666,101.115,85.2294,47.6518
6600,77.4156,101.476,90.8757,48.2577
6750,76.5004,106.535,88.4012,47.9171
6900,79.1676,105.328,89.3251,44.6425
7050,75.5502,102.257,83.4498,51.0769
7200,78.878,107.376,88.8627,52.6477
7350,79.024,108.278,87.5453,47.6057
7500,79.591,109.109,86.0649,51.9537
7650,78.6014,104.756,88.7424,51.3483
7800,76.0686,100.651,89.2377,53.245
7950,76.7944,112.208,87.0677,49.7317
8100,79.1346,115.254,89.0964,46.4673
8250,80.9645,109.941,86.475,50.4753
8400,81.7172,109.455,86.4212,52.251
8550,83.8137,116.571,87.2319,47.4825
8700,85.0898,106.968,85.5679,45.9838
8850,83.2356,113.605,86.4571,48.1289
9000,82.4181,112.16,86.6545,48.5649
9150,85.8698,113.67,85.2203,47.0641
9300,81.2322,110.261,85.7544,43.6803
9450,83.6144,113.739,85.2263,47.7874
9600,84.3458,114.664,86.0836,46.4792
9750,66.9552,89.3468,67.2694,47.5156
9900,65.3829,85.2004,63.8116,48.7314
10050,63.4733,84.3306,66.093,45.928
10200,56.3295,75.0695,58.1093,47.0869
10350,64.5499,120.756,92.2072,78.2796
10500,64.645,119.008,94.8211,74.3637
10650,64.2818,122.665,93.9355,79.468
10800,61.5352,122.967,96.2437,77.2088
10950,61.6519,121.379,97.3669,75.7948
11100,63.1741,118.426,96.3674,73.6942
11250,62.9956,119.117,94.9518,73.7806
11400,61.9487,124.443,95.8958,74.8441
