Time,FC,PAS,PAM,PAD
-1,68,186,123,91
0,74.8,204.6,135.3,91
150,74.2449,202.253,133.582,91
300,73.9838,205.174,135.586,91
450,73.8559,205.692,137.441,89.3173
600,75.3467,205.226,136.928,89.2939
750,75.295,207.34,135.224,89.6357
900,69.6739,168.893,108.328,69.8894
1050,68.2305,208.84,110.651,75.1421
1200,69.3725,202.121,132.864,93.7477
1350,67.5904,205.229,133.317,90.4243
1500,57.5987,140.755,56.7384,65.3058
1650,59.2747,138.827,84.113,62.8987
1800,59.1728,133.351,88.542,66.13
1950,58.0846,138.248,92.8893,63.3992
2100,53.1742,95.4692,61.3845,45.5631
2250,51.9238,97.1207,65.1275,46.2404
2400,54.9783,100.132,65.73,43.306
2550,53.9569,100.301,67.449,41.2266
2700,50.8133,101.646,64.497,44.6041
2850,62.639,115.408,79.7176,41.4912
3000,62.5257,122.73,83.175,43.2362
3150,65.5107,128.329,89.5458,45.7129
3300,68.862,122.568,88.8017,43.3225
3450,70.0778,132.452,90.6699,45.3497
3600,75.4501,128.299,87.5812,42.9846
3750,72.4851,125.57,88.6975,39.29
3900,69.5582,123.964,86.6501,39.4903
4050,71.0868,130.095,91.8039,42.6812
4200,67.9195,130.937,97.9817,45.3639
4350,66.2453,130.357,89.771,43.158
4500,67.6241,130.096,92.2424,38.5759
4650,70.9933,127.372,95.5051,43.3678
4800,71.1426,129.95,89.4135,46.0107
4950,75.2126,137.062,94.711,44.035
5100,73.6316,136.657,97.0813,45.9005
5250,77.0316,131.221,93.8727,42.5167
5400,75.9543,127.157,96.8895,43.1214
5550,78.9725,131.284,99.145,43.3362
5700,78.1347,132.816,92.7434,43.6412
5850,77.4549,131.915,96.3675,42.4853
6000,76.4942,136.657,95.2574,43.7323
6150,74.2711,135.846,92.2596,46.4603
6300,76.1582,132.383,95.2863,45.227
6450,66.4715,109.536,76.3633,42.9848
6600,69.0598,108.144,71.6058,44.742
6750,71.3672,111.042,74.5562,42.672
6900,69.573,161.16,107.86,69.8954
7050,70.4886,161.821,106.851,70.0536
7200,67.7337,157.357,105.467,73.2852
7350,68.9921,156.885,104.768,71.0395
7500,68.6952,161.131,106.478,71.9708
7650,67.9065,161.862,108.191,70.9756
7800,69.7194,159.999,105.612,72.3215
7950,69.5982,157.813,105.351,71.0064
