Time,Event
0,Mise en place du patient
30,Monitorage FC
60,Monitorage PAM
90,Monitorage SPO2
120,Monitorage BIS
150,pose VVP (cathlon)
390,Bair hugger
450,CEFAZOLINE_bolus
600,pré-oxygénation
780,SUFENTANIL_induction
810,PROPOFOL_induction
840,ATRACURIUM_induction
870,Occlusion oculaire
1230,intubation
1500,SEVOFLURANE_continu
1530,Ventilation contrôlé intubée
1560,Oxygène 30%
1590,Auscultation pulmonaire
1620,Surveillance pression ballonnet
1650,Manoeuvre Recrutement Alvéolaire
1740,Pose sonde T°C
2010,Auscultation pulmonaire
2040,Surveillance points d'appui
2070,SEVOFLURANE_continu
2190,SUFENTANIL_bolus
2250,Incision
2730,Trocard sous-ombilical
2790,Inflation pneumopéritoine
3240,ATRACURIUM_bolus
3570,Auscultation pulmonaire
3600,Manoeuvre Recrutement Alvéolaire
3900,Dissection espace prépéritonéal
4230,Dissection cordon spermatique
4470,Dissection cordon zone herniaire
4770,SUFENTANIL_bolus
5640,ATRACURIUM_bolus
6780,Mise en place prothèse
8280,Déflation pneumopéritoine
8340,Fermeture
8820,Pansement
8850,stop sevoflurane
9540,Contrôle de décurarisation
9720,Décurarusation
10140,Mise en place du patient
