Time,FC,PAS,PAM,PAD
-1,61,149,89,102
0,67.1,163.9,97.9,102
150,65.8421,161.226,96.096,102
300,67.7204,161.761,100.02,102
450,68.9578,162.796,97.5099,101.97
600,69.5213,158.422,100.23,102.961
750,69.1197,166.846,99.3587,103.457
900,64.0116,129.32,78.0605,82.6958
1050,60.0361,128.613,82.2052,104.272
1200,52.2249,125.588,70.5645,68.1187
1350,48.6564,126.718,47.3075,71.466
1500,52.4211,125.255,65.1747,70.8527
1650,55.1851,127.259,67.3486,69.8626
1800,51.5651,125.292,69.891,74.9557
1950,48.8059,85.2934,42.9956,47.3703
2100,46.9818,85.6474,45.9205,45.0631
2250,58.6984,107.42,55.8266,49.4619
2400,54.2781,95.7665,51.9033,49.3447
2550,50.6283,96.8726,53.3308,48.3375
2700,51.9584,98.5094,56.4985,44.164
2850,50.3683,91.2337,53.6455,49.6787
3000,47.6665,99.2786,54.3565,47.8192
3150,58.7804,121.546,60.5773,50.3265
3300,55.1796,119.629,63.4866,48.3907
3450,59.8912,125.393,63.6853,50.9507
3600,60.6109,129.98,64.208,48.4252
3750,72.8773,133.877,63.5368,47.7918
3900,67.4851,128.594,66.6543,46.3196
4050,63.963,133.483,62.688,49.3855
4200,59.8771,128.125,61.4473,46.9707
4350,59.9404,129.747,63.0919,49.9882
4500,60.833,126.8,64.2386,50.5322
4650,64.8548,126.547,60.4789,52.1543
4800,64.228,130.516,66.5474,47.8465
4950,62.7258,128.073,65.9771,48.054
5100,68.4216,128.63,61.3678,47.4787
5250,67.5799,133.019,62.4766,44.8263
5400,69.8919,130.898,66.168,48.878
5550,70.817,130.194,66.8161,49.5689
5700,70.9532,133.464,61.4577,46.668
5850,68.3761,132.049,60.945,49.093
6000,72.2542,132.683,60.5137,47.0814
6150,70.8943,129.799,63.6716,46.3995
6300,71.1123,132.405,64.6095,47.2451
6450,68.8864,129.583,60.2806,47.4617
6600,67.9884,128.779,61.0159,48.8629
6750,75.0392,130.627,61.8329,49.6154
6900,65.3064,102.167,45.9931,50.2756
7050,68.8049,102.03,49.5504,49.4972
7200,56.7221,89.3594,43.4027,46.9246
7350,64.7855,124.358,66.3946,81.5649
7500,65.4382,127.425,63.4592,80.3701
7650,64.509,128.745,64.3203,79.4551
7800,64.8705,123.827,67.2027,79.0321
7950,63.7267,126.951,65.5486,80.635
8100,64.1882,124.228,66.4651,80.0874
8250,62.824,125.816,64.7698,79.2539
8400,62.168,125.329,65.455,81.3227
8550,63.4157,124.218,67.354,79.0866
